SALARY,HOURLY RATE,TITLE,DEPARTMENT
,$8.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$42,806.62 ",,FIRST CLASS POLICE OFFICER,POLICE
"$23,801.23 ",,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$41,234.75 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$27,456.00 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$32,868.37 ",,CALL TAKER I,EMERGENCY COMMUNICATION
"$51,194.50 ",,PARKS PLANNER,PARK AND RECREATION
"$33,051.41 ",,ASSISTANT PARK OPERATIONS SUPV,PARK AND RECREATION
"$29,695.66 ",,SENIOR UB CUSTOMER SERVICE SPECIALI,FINANCE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$74,996.29 ",,EMPLOYEE SERVICES MANAGER,PERSONNEL
"$30,377.15 ",,INDUSTRIAL PRETREATMENT TECHNICIAN,PUBLIC UTILITIES
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$44,999.99 ",,ADMINISTRATIVE ASSISTANT,PUBLIC AFFAIRS
"$38,631.38 ",,STAFF ASSISTANT,CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$33,604.06 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$36.00 ,OFFICIALS,PARK AND RECREATION
"$45,369.14 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$55,327.67 ",,FIRE PROTECTION INSPECTOR,FIRE
,$9.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$35,667.63 ",,MICROBIOLOGIST,PUBLIC UTILITIES
"$83,349.52 ",,POLICE CAPTAIN,POLICE
"$75,690.37 ",,WATER/WASTERWATER TREATMENT FAC. MN,PUBLIC UTILITIES
"$51,219.39 ",,MASTER POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,931.44 ",,STAFF SUPPORT SPECIALIST,PLANNING
"$64,579.14 ",,CONSTRUCTION PROJECTS COORDINATOR,PUBLIC WORKS
"$26,416.00 ",,AUTOMOTIVE SERVICES TECHNICIAN,PUBLIC WORKS
"$64,449.78 ",,FIRE CAPTAIN,FIRE
"$65,160.47 ",,CD PROGRAM COORDINATOR,COMMUNITY DEVELOPMENT
"$32,046.56 ",,SERVICE WORKER,PARK AND RECREATION
"$34,404.58 ",,FIREFIGHTER,FIRE
"$25,050.68 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC WORKS
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$52,478.40 ",,GARAGE SUPERVISOR,PUBLIC WORKS
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$56,079.06 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$39,645.93 ",,SENIOR STAFF SUPPORT SPECIALIST,FINANCE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$33,855.28 ",,POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$36.00 ,OFFICIALS,PARK AND RECREATION
"$33,349.47 ",,FIREFIGHTER,FIRE
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
"$52,780.51 ",,POLICE CORPORALS,POLICE
"$45,059.37 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
"$79,500.01 ",,PROJECT ENGINEER II,PUBLIC WORKS
"$32,166.61 ",,POLICE OFFICER,POLICE
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$36,439.10 ",,CHEMIST,PUBLIC UTILITIES
"$35,960.09 ",,STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
"$38,162.80 ",,MAINTENANCE WORKER III,PUBLIC WORKS
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$36,869.87 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
"$51,145.13 ",,SENIOR SYSTEMS ADMINISTRATOR,INFORMATION TECHNOLOGY
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$86,542.24 ",,DEBT MANAGER,FINANCE
"$55,825.98 ",,STAFF ASSISTANT,COMMUNITY DEVELOPMENT
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$25.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$37,828.00 ",,ACCOUNTANT/AUDITOR I,FINANCE
"$31,848.96 ",,MAINTENANCE WORKER III,PARK AND RECREATION
"$50,218.27 ",,CREW SUPERVISOR,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$13,781.04 ",,STAFF SUPPORT SPECIALIST,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$50,535.55 ",,FIRE LIEUTENANT,FIRE
,$36.00 ,OFFICIALS,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$65,070.19 ",,ASST ZONING ENFORCEMENT ADMINISTRAT,INSPECTIONS
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$40,671.54 ",,FIRST CLASS POLICE OFFICER,POLICE
"$26,303.26 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$40,246.60 ",,PUBLIC AFFAIRS SPECIALIST,PUBLIC AFFAIRS
"$29,087.34 ",,SERVICE WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$37,797.76 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$47,075.25 ",,MASTER POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,792.45 ",,SERVICE WORKER,PARK AND RECREATION
"$35,165.18 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$34,404.58 ",,FIREFIGHTER,FIRE
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$57,104.61 ",,POLICE CORPORALS,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$35,165.31 ",,PLANT EQUIPMENT MECHANIC,PUBLIC UTILITIES
"$39,419.45 ",,RTN STUDIO ENGINEER,PUBLIC AFFAIRS
"$68,093.90 ",,HOUSING INSPECTOR SUPERVISOR,INSPECTIONS
"$61,839.74 ",,SENIOR POLICE OFFICER,POLICE
"$34,866.21 ",,INDUSTRIAL PRETREATMENT TECHNICIAN,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,674.43 ",,SENIOR STAFF SUPPORT SPECIALIST,FIRE
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$33,490.51 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$10.29 ,CL. ASSISTANT II (T),PERSONNEL
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$23,162.46 ",,SERVICE WORKER,PUBLIC UTILITIES
"$41,671.76 ",,WELDER,PUBLIC WORKS
"$41,628.29 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
"$48,880.07 ",,CONSERVATION ENGINEER,PUBLIC WORKS
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$33,453.20 ",,POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$35,249.00 ",,ZONING INSPECTOR,INSPECTIONS
"$119,974.11 ",,ATTORNEY,GENERAL GOVERNMENT
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$104,189.20 ",,STORM WATER PROGRAM MANAGER,PUBLIC WORKS
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$53,678.79 ",,POLICE DETECTIVE I,POLICE
"$27,618.45 ",,ANIMAL CONTROL OFFICER,POLICE
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$88,500.01 ",,ASSISTANT PLANNING DIRECTOR,PLANNING
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$63,382.52 ",,POLICE DETECTIVE I,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$25,863.55 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$119,999.90 ",,CHIEF INFORMATION OFFICER,INFORMATION TECHNOLOGY
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
"$25,990.85 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$36,923.46 ",,SYSTEMS ANALYST/PROGRAMMER,EMERGENCY COMMUNICATION
"$40,736.45 ",,PERMIT SPECIALIST,INSPECTIONS
"$46,096.15 ",,PUBLIC AFFAIRS SPECIALIST,PUBLIC AFFAIRS
"$44,923.62 ",,RCCC PRODUCTION SUPERVISOR,CONVENTION CENTER
"$70,526.31 ",,FIRE CAPT/INVEST SPEC,FIRE
"$25,348.10 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$64,617.49 ",,TELECOMMUNICATIONS SUPERVISOR,EMERGENCY COMMUNICATION
"$59,332.14 ",,FIRE LT/HAZMAT TECH,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$70,350.10 ",,WEB DEVELOPER,INFORMATION TECHNOLOGY
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$33,191.56 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$58,412.43 ",,STAFF ANALYST,FINANCE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$41,354.65 ",,COMMUNITY EDUCATION SPECIALIST,SOLID WASTE SERVICES
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
"$51,253.89 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$38,676.77 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
,$12.00 ,WATER METER MECHANIC,PUBLIC UTILITIES
"$49,436.15 ",,POLICE DETECTIVE I,POLICE
"$30,042.69 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
"$29,410.37 ",,PARK OPERATIONS SUPERVISOR,PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$33,741.55 ",,SERVICE WORKER,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,808.37 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC WORKS
"$54,003.21 ",,STAFF ASSISTANT,PLANNING
"$53,215.55 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
"$42,392.98 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$43,145.68 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$71,198.41 ",,PLANNER II,PLANNING
"$35,428.43 ",,INVENTORY ASSISTANT,PARK AND RECREATION
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$42,806.62 ",,FIRST CLASS POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$57,298.43 ",,FIRE CAPTAIN,FIRE
"$64,578.94 ",,SENIOR BUSINESS PROCESS ANALYST,GENERAL GOVERNMENT
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$36,564.45 ",,FIREFIGHTER,FIRE
"$30,838.91 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$44,498.05 ",,CRISIS COUNSELOR,POLICE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$13.45 ,GIS SPECIALIST (T),INFORMATION TECHNOLOGY
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PARK AND RECREATION
"$30,377.13 ",,REC FACIL & PROGRAM SUPV I,PARK AND RECREATION
"$40,068.68 ",,ENGINEERING TECHNICIAN,PUBLIC WORKS
"$37,342.24 ",,SERVICE WORKER,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$68,865.82 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$40,985.15 ",,MAINTENANCE WORKER II,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$27,615.74 ",,WATER QUALITY TECHNICIAN,PUBLIC UTILITIES
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$38,620.40 ",,INDUSTRIAL PRETREATMENT TECHNICIAN,PUBLIC UTILITIES
"$24,994.11 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$44,496.60 ",,FIRST CLASS POLICE OFFICER,POLICE
"$55,358.72 ",,POLICE CORPORALS,POLICE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$52,614.43 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$69,156.39 ",,FIRE CAPT/HAZMAT TECH,FIRE
"$56,523.38 ",,FIRE LIEUTENANT,FIRE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$71,198.41 ",,STAFF ANALYST,SOLID WASTE SERVICES
"$33,349.47 ",,FIREFIGHTER,FIRE
"$64,010.20 ",,POLICE DETECTIVE II,POLICE
,$7.25 ,CUSTODIAL WORKER,CONVENTION CENTER
"$62,435.36 ",,INDUSTRIAL PRETREATMENT COORDINATOR,PUBLIC UTILITIES
"$26,303.26 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$74,241.84 ",,BATTALION FIRE CHIEF,FIRE
"$73,111.79 ",,WATER DISTRIBUTION SUPERINTENDENT,PUBLIC UTILITIES
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$41,209.24 ",,POLICE OFFICER,POLICE
"$67,190.43 ",,FIRE CAPT/HAZMAT TECH,FIRE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$23,801.23 ",,ASST SEWER MONITORING TECH,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,OFFICIALS,PARK AND RECREATION
"$60,131.85 ",,SENIOR POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,611.24 ",,PU CONSTRUCTION PROJECTS ADMINISTRA,PUBLIC UTILITIES
"$30,521.92 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
"$63,491.04 ",,PROJECT ENGINEER I,PUBLIC WORKS
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$33,453.20 ",,POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$59,868.47 ",,CONSERVATION ENGINEER SUPERVISOR,PUBLIC WORKS
"$26,869.23 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
"$25,003.26 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$71,294.50 ",,POLICE SERGEANT,POLICE
,$25.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$23,786.88 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$39,645.84 ",,MAINTENANCE WORKER I,PARK AND RECREATION
"$64,399.77 ",,FIRE CAPTAIN,FIRE
"$58,575.24 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
"$47,999.92 ",,WORKPLACE HEALTHCARE SPECIALIST,PERSONNEL
"$45,895.25 ",,CUSTOMER SERVICES SPECIALIST,FINANCE
"$41,999.85 ",,BUDGET ANALYST,ADMINISTRATIVE SERVICES
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$61,839.52 ",,SENIOR POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$43,749.88 ",,COMMUNITY SPECIALIST,COMMUNITY SERVICES
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$43,839.95 ",,PERSONNEL SPECIALIST,PERSONNEL
"$38,304.74 ",,FIRST CLASS POLICE OFFICER,POLICE
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
"$56,663.01 ",,VFS SUPERINTENDENT,PUBLIC WORKS
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$36,400.00 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$50,484.82 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$53,110.72 ",,SR. PLANT EQUIPMENT MECHANIC,PUBLIC UTILITIES
,$13.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$60,202.96 ",,PROJECT ENGINEER II,PUBLIC WORKS
"$70,411.07 ",,POLICE SERGEANT,POLICE
"$42,014.13 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$73,412.76 ",,POLICE LIEUTENANT,POLICE
"$45,921.41 ",,HORTICULTURE SPECIALIST,PARK AND RECREATION
"$47,077.21 ",,MASTER POLICE OFFICER,POLICE
"$46,033.08 ",,TRAFFIC ENGINEERING TECHNICIAN,PUBLIC WORKS
"$21,540.06 ",,SERVICE WORKER,PUBLIC UTILITIES
"$20,560.38 ",,SERVICE WORKER,PUBLIC UTILITIES
"$58,756.39 ",,PLANNER I,PLANNING
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$21,692.11 ",,SERVICE WORKER,PUBLIC UTILITIES
"$121,773.50 ",,ATTORNEY,POLICE
"$34,450.83 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$42,512.07 ",,WATER CONSERVATION SPECIALIST,PUBLIC UTILITIES
"$50,946.45 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$41,411.97 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$24,960.00 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$34,434.61 ",,LEAD SERVICE WORKER,PUBLIC WORKS
"$32,166.61 ",,POLICE OFFICER,POLICE
"$62,820.85 ",,STAFF ANALYST,SOLID WASTE SERVICES
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$39,294.74 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$43,063.90 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$56,954.79 ",,MASTER POLICE OFFICER,POLICE
"$43,063.70 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$41,011.57 ",,ASSISTANT CREW SUPERVISOR,PARK AND RECREATION
"$40,999.92 ",,CONSTRUCTION SUPERVISOR,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$74,088.12 ",,BUDGET & PROGRAM EVALUATION MNGR.,ADMINISTRATIVE SERVICES
"$32,569.89 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$69,981.15 ",,ACCOUNTANT/AUDITOR II,FINANCE
"$44,545.69 ",,FIRE LT/HAZMAT TECH,FIRE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$31,106.82 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$27,582.05 ",,EQUIPMENT OPERATOR II,PARK AND RECREATION
"$49,748.74 ",,STORMWATER CONTROL INSPECTOR,PUBLIC WORKS
"$32,767.49 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$24,991.20 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
"$39,315.68 ",,FIRE LIEUTENANT,FIRE
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
